player,nation,position,age,matches_played,starts,minutes,nineties,goals_against,goals_against_per90,shots_on_target_against,saves,save_pct,w,d,l,cs,clean_sheet_pct,pkatt,pka,pksv,pkm,penalty_save_pct,season,fbref_comp_id
Agustín Orión,ARG,GK,32,26,26,2370,26.3,22.0,1.22,73,51,69.9,12,6,8,9.0,34.6,0.0,0.0,0.0,0.0,,2014,
Emanuel Trípodi,ARG,GK,33,1,1,90,1.0,1.0,1.0,4,3,75.0,1,0,0,0.0,0.0,,,,,,2014,
Agustín Orión,ARG,GK,33,28,28,2398,26.6,,,0,0,,19,2,7,13.0,46.4,3.0,3.0,0.0,0.0,0.0,2015,
Guillermo Sara,ARG,GK,27,13,10,1016,11.3,,,0,0,,7,2,1,6.0,60.0,0.0,0.0,0.0,0.0,,2015,
Agustín Rossi,ARG,GK,20.0,16,16,1440,16.0,12.0,0.75,46,35,76.1,9,5,2,8.0,50.0,1.0,1.0,0.0,0.0,0.0,2016,21.0
Guillermo Sara,ARG,GK,28.0,12,12,1080,12.0,10.0,0.83,31,21,67.7,7,4,1,4.0,33.3,1.0,0.0,0.0,1.0,,2016,21.0
Axel Werner,ARG,GK,20.0,2,2,180,2.0,3.0,1.5,16,13,81.3,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,2016,21.0
Agustín Rossi,ARG,GK,21.0,26,26,2340,26.0,19.0,0.73,82,63,76.8,18,3,5,12.0,46.2,0.0,0.0,0.0,0.0,,2017,21.0
Guillermo Sara,ARG,GK,29.0,1,1,90,1.0,3.0,3.0,12,9,75.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,2017,21.0
Esteban Andrada,ARG,GK,27.0,18,18,1620,18.0,9.0,0.5,68,59,88.2,13,3,2,11.0,61.1,1.0,1.0,0.0,0.0,0.0,2018,21.0
Agustín Rossi,ARG,GK,22.0,6,6,540,6.0,8.0,1.33,27,19,70.4,2,2,2,1.0,16.7,0.0,0.0,0.0,0.0,,2018,21.0
Marcos Guillermo Díaz,ARG,GK,32.0,1,1,90,1.0,1.0,1.0,5,4,80.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,,2018,21.0
Esteban Andrada,ARG,GK,28.0,20,20,1800,20.0,7.0,0.35,66,59,89.4,12,5,3,14.0,70.0,0.0,0.0,0.0,0.0,,2019,21.0
Marcos Guillermo Díaz,ARG,GK,33.0,3,3,270,3.0,1.0,0.33,15,14,93.3,2,1,0,2.0,66.7,0.0,0.0,0.0,0.0,,2019,21.0
Esteban Andrada,ARG,GK,29,18,18,1680,18.7,11.0,0.59,40,29,72.5,8,6,4,11.0,61.1,1.0,0.0,1.0,0.0,100.0,2020,
Agustín Rossi,ARG,GK,24,6,6,540,6.0,6.0,1.0,17,12,64.7,3,2,1,1.0,16.7,1.0,0.0,1.0,0.0,100.0,2020,
Agustín Rossi,ARG,GK,25,32,32,2970,33.0,19.0,0.58,86,68,79.1,15,10,7,16.0,50.0,1.0,1.0,0.0,0.0,0.0,2021,
Esteban Andrada,ARG,GK,30,11,11,990,11.0,10.0,0.91,41,31,75.6,4,5,2,3.0,27.3,0.0,0.0,0.0,0.0,,2021,
Javier Hernán García,ARG,GK,34,3,3,270,3.0,3.0,1.0,14,11,78.6,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,,2021,
Agustín Lastra,ARG,GK,20,2,2,180,2.0,2.0,1.0,4,2,75.0,0,1,1,1.0,50.0,1.0,1.0,0.0,0.0,0.0,2021,
Agustín Rossi,ARG,GK,26,44,44,3975,44.2,33.0,0.75,155,119,80.6,25,12,7,21.0,47.7,8.0,3.0,4.0,1.0,57.1,2022,
Javier Hernán García,ARG,GK,35,8,8,720,8.0,11.0,1.37,31,19,74.2,3,2,3,1.0,12.5,4.0,3.0,1.0,0.0,25.0,2022,
Leandro Brey,ARG,GK,19,1,0,45,0.5,0.0,0.0,0,0,,0,0,0,1.0,,0.0,0.0,0.0,0.0,,2022,
Sergio Romero,ARG,GK,35,45,45,4170,46.3,36.0,0.78,171,133,80.7,19,13,13,20.0,44.4,7.0,3.0,4.0,0.0,57.1,2023,
Javier Hernán García,ARG,GK,36,9,9,810,9.0,11.0,1.22,28,17,60.7,3,2,4,2.0,22.2,0.0,0.0,0.0,0.0,,2023,
Sergio Romero,ARG,GK,36,36,35,3236,36.0,31.0,0.86,123,90,74.8,13,13,9,15.0,42.9,1.0,0.0,1.0,0.0,100.0,2024,
Leandro Brey,ARG,GK,21,17,15,1312,14.6,10.0,0.69,57,45,87.7,9,3,3,7.0,46.7,4.0,3.0,1.0,0.0,25.0,2024,
Javier Hernán García,ARG,GK,37,1,1,72,0.8,2.0,2.5,3,1,33.3,1,0,0,,,,,,,,2024,
Agustín Marchesín,ARG,GK,37-249,32,32,2879,32.0,26.0,0.81,103,79,78.6,18,7,7,13.0,40.6,4.0,4.0,0.0,0.0,0.0,2025,
Leandro Brey,ARG,GK,23-060,4,3,271,3.0,2.0,0.66,10,8,80.0,0,3,0,2.0,66.7,0.0,0.0,0.0,0.0,,2025,
